City,Category,Year,Degree,Closeness,Betweenness,Eigenvector
Bahawalpur,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Bannu,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Faisalabad,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Gujranwala,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Hyderabad,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Islamabad,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Karachi,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Khuzdar,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Lahore,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Larkana,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Multan,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Peshawar,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Quetta,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Rawalpindi,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Sargodha,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Sialkot,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
Sukkur,Clothing_Misc,2024,1.0,1.0,0.0,0.24253562503633297
