City,Category,Year,Degree,Closeness,Betweenness,Eigenvector
Bahawalpur,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Bannu,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Faisalabad,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Gujranwala,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Hyderabad,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Islamabad,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Karachi,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Khuzdar,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Lahore,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Larkana,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Multan,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Peshawar,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Quetta,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Rawalpindi,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Sargodha,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Sialkot,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
Sukkur,Food_Staples_Grains,2024,1.0,1.0,0.0,0.24253562503633297
