City,Category,Year,Degree,Closeness,Betweenness,Eigenvector
Bahawalpur,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Bannu,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Faisalabad,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Gujranwala,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Hyderabad,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Islamabad,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Karachi,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Khuzdar,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Lahore,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Larkana,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Multan,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Peshawar,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Quetta,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Rawalpindi,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Sargodha,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Sialkot,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
Sukkur,Fruits_Vegetables,2024,1.0,1.0,0.0,0.24253562503633297
