City,Category,Year,Degree,Closeness,Betweenness,Eigenvector
Bahawalpur,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Bannu,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Faisalabad,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Gujranwala,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Hyderabad,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Islamabad,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Karachi,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Khuzdar,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Lahore,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Larkana,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Multan,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Peshawar,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Quetta,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Rawalpindi,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Sargodha,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Sialkot,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
Sukkur,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.24253562503633297
