City,Category,Year,Degree,Closeness,Betweenness,Eigenvector
Bahawalpur,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Bannu,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Faisalabad,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Gujranwala,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Hyderabad,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Islamabad,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Karachi,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Khuzdar,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Lahore,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Larkana,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Multan,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Peshawar,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Quetta,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Rawalpindi,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Sargodha,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Sialkot,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
Sukkur,Non_Food_Essentials,2024,1.0,1.0,0.0,0.24253562503633297
