City,Category,Year,Degree,Closeness,Betweenness,Eigenvector
Bahawalpur,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Bannu,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Faisalabad,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Gujranwala,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Hyderabad,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Islamabad,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Karachi,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Khuzdar,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Lahore,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Larkana,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Multan,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Peshawar,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Quetta,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Rawalpindi,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Sargodha,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Sialkot,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
Sukkur,Oils_Sweeteners_Condiments,2024,1.0,1.0,0.0,0.24253562503633297
