City,Category,Year,Degree,Closeness,Betweenness,Eigenvector
Bahawalpur,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Bannu,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Faisalabad,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Gujranwala,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Hyderabad,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Islamabad,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Karachi,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Khuzdar,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Lahore,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Larkana,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Multan,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Peshawar,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Quetta,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Rawalpindi,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Sargodha,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Sialkot,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
Sukkur,Utilities_Transport,2023,1.0,1.0,0.0,0.24253562503633297
