source,target,weight
Bahawalpur,Bannu,0.9960349583457607
Bahawalpur,Faisalabad,0.9985952224176736
Bahawalpur,Gujranwala,0.968311442791935
Bahawalpur,Hyderabad,0.9891165628720989
Bahawalpur,Islamabad,0.9944840392303972
Bahawalpur,Karachi,0.9869504957356047
Bahawalpur,Khuzdar,0.9953829192768887
Bahawalpur,Lahore,0.9687509820606168
Bahawalpur,Larkana,0.9922040648513082
Bahawalpur,Multan,0.9987053589739003
Bahawalpur,Peshawar,0.9913819037952329
Bahawalpur,Quetta,0.9973680807574153
Bahawalpur,Rawalpindi,0.994209469865649
Bahawalpur,Sargodha,0.9984510422576831
Bahawalpur,Sialkot,0.9735238258593393
Bahawalpur,Sukkur,0.9921210807506909
Bannu,Faisalabad,0.9945192493509929
Bannu,Gujranwala,0.9600379591435263
Bannu,Hyderabad,0.9776232462312578
Bannu,Islamabad,0.9879544427121277
Bannu,Karachi,0.9749267935258111
Bannu,Khuzdar,0.9876184026673116
Bannu,Lahore,0.9744981529179564
Bannu,Larkana,0.9916105900907877
Bannu,Multan,0.9934167165961206
Bannu,Peshawar,0.9932039532244256
Bannu,Quetta,0.9929954853253463
Bannu,Rawalpindi,0.9882656474764524
Bannu,Sargodha,0.9982109878103428
Bannu,Sialkot,0.9707555134772025
Bannu,Sukkur,0.9879842527259769
Faisalabad,Gujranwala,0.9751697948423025
Faisalabad,Hyderabad,0.9912831361454
Faisalabad,Islamabad,0.9977448866763277
Faisalabad,Karachi,0.9898511990739205
Faisalabad,Khuzdar,0.9974374772280881
Faisalabad,Lahore,0.9760685798185019
Faisalabad,Larkana,0.9942330604221518
Faisalabad,Multan,0.998185519302528
Faisalabad,Peshawar,0.9915354768863827
Faisalabad,Quetta,0.9978155131957016
Faisalabad,Rawalpindi,0.9979180669946132
Faisalabad,Sargodha,0.9971172091543372
Faisalabad,Sialkot,0.9786965530015757
Faisalabad,Sukkur,0.9933187146339393
Gujranwala,Hyderabad,0.9592616037827526
Gujranwala,Islamabad,0.9710106640348988
Gujranwala,Karachi,0.9663835487582656
Gujranwala,Khuzdar,0.975666142722369
Gujranwala,Lahore,0.975227563901185
Gujranwala,Larkana,0.9625974287053324
Gujranwala,Multan,0.9730910144307517
Gujranwala,Peshawar,0.9491762637605948
Gujranwala,Quetta,0.9729923419052908
Gujranwala,Rawalpindi,0.9732407381010911
Gujranwala,Sargodha,0.9610764377556118
Gujranwala,Sialkot,0.9955675782075031
Gujranwala,Sukkur,0.9517195311546145
Hyderabad,Islamabad,0.9924237251771244
Hyderabad,Karachi,0.9987611864495655
Hyderabad,Khuzdar,0.9928074452085693
