source,target,weight
Bahawalpur,Bannu,0.996464477263902
Bahawalpur,Faisalabad,0.9993826188248097
Bahawalpur,Gujranwala,0.9996358003274007
Bahawalpur,Hyderabad,0.9997667600237101
Bahawalpur,Islamabad,0.9989530277406242
Bahawalpur,Karachi,0.9993224280457047
Bahawalpur,Khuzdar,0.9958607651737506
Bahawalpur,Lahore,0.9983335482459761
Bahawalpur,Larkana,0.9962722566266543
Bahawalpur,Multan,0.9993260700066832
Bahawalpur,Peshawar,0.9996804603361249
Bahawalpur,Quetta,0.9994485123042113
Bahawalpur,Rawalpindi,0.9991435060643625
Bahawalpur,Sargodha,0.9986622347945573
Bahawalpur,Sialkot,0.999302963560903
Bahawalpur,Sukkur,0.9992509415739206
Bannu,Faisalabad,0.9965498872717956
Bannu,Gujranwala,0.9940826054460042
Bannu,Hyderabad,0.9959473956078232
Bannu,Islamabad,0.9949018348201001
Bannu,Karachi,0.9971571202427907
Bannu,Khuzdar,0.9984248580148745
Bannu,Lahore,0.9911944574065006
Bannu,Larkana,0.9976929430289997
Bannu,Multan,0.99414941098267
Bannu,Peshawar,0.9979768206869909
Bannu,Quetta,0.9962777005862791
Bannu,Rawalpindi,0.9948637325107798
Bannu,Sargodha,0.9981118202283771
Bannu,Sialkot,0.9948833407234149
Bannu,Sukkur,0.99844178719619
Faisalabad,Gujranwala,0.9991346578941621
Faisalabad,Hyderabad,0.9990150820597973
Faisalabad,Islamabad,0.9997088154872965
Faisalabad,Karachi,0.9998807820168087
Faisalabad,Khuzdar,0.9955041230105106
Faisalabad,Lahore,0.9981002999401754
Faisalabad,Larkana,0.9977231541307755
Faisalabad,Multan,0.9990961658734775
Faisalabad,Peshawar,0.9989578144659257
Faisalabad,Quetta,0.9987950505573985
Faisalabad,Rawalpindi,0.9997000434961043
Faisalabad,Sargodha,0.9993793335007098
Faisalabad,Sialkot,0.9990913066686102
Faisalabad,Sukkur,0.9993852952541404
Gujranwala,Hyderabad,0.9995020391424164
Gujranwala,Islamabad,0.9992423112184197
Gujranwala,Karachi,0.9988320597221297
Gujranwala,Khuzdar,0.9935921511156685
Gujranwala,Lahore,0.9994470580469496
Gujranwala,Larkana,0.995147044332751
